iter	Passed	Remaining
0	26	2634
1	62	3059
2	93	3019
3	122	2936
4	151	2872
5	179	2808
6	206	2749
7	233	2688
8	264	2673
9	296	2670
10	324	2625
11	353	2593
12	380	2545
13	407	2505
14	437	2477
15	467	2452
16	495	2417
17	522	2381
18	551	2351
19	575	2303
20	609	2291
21	637	2259
22	673	2254
23	714	2262
24	748	2244
25	776	2208
26	800	2164
27	831	2138
28	858	2101
29	884	2063
30	907	2020
31	928	1973
32	950	1930
33	973	1889
34	1006	1868
35	1033	1836
36	1060	1805
37	1090	1778
38	1117	1747
39	1145	1718
40	1169	1682
41	1198	1654
42	1221	1619
43	1251	1592
44	1277	1561
45	1299	1525
46	1330	1500
47	1354	1467
48	1382	1438
49	1406	1406
50	1431	1375
51	1458	1346
52	1479	1311
53	1500	1277
54	1521	1244
55	1542	1211
56	1562	1178
57	1586	1148
58	1607	1117
59	1629	1086
60	1651	1055
61	1673	1025
62	1696	996
63	1720	967
64	1749	942
65	1775	914
66	1803	888
67	1834	863
68	1862	836
69	1887	809
70	1916	782
71	1941	754
72	1972	729
73	1998	702
74	2023	674
75	2052	648
76	2087	623
77	2113	596
78	2142	569
79	2169	542
80	2192	514
81	2219	487
82	2243	459
83	2271	432
84	2299	405
85	2327	378
86	2349	351
87	2378	324
88	2402	296
89	2430	270
90	2456	242
91	2480	215
92	2510	188
93	2534	161
94	2561	134
95	2583	107
96	2604	80
97	2626	53
98	2648	26
99	2668	0
