iter	Logloss
0	0.656985996
1	0.6231215519
2	0.5917369295
3	0.562632323
4	0.5360315605
5	0.511913099
6	0.4893842851
7	0.4684175809
8	0.4495726109
9	0.4316950543
10	0.4153532152
11	0.3999114783
12	0.3864499893
13	0.3741380372
14	0.3618733744
15	0.3513636165
16	0.3416845179
17	0.3327539637
18	0.3233297392
19	0.3149542514
20	0.306383604
21	0.2987539
22	0.2909341058
23	0.2838235139
24	0.2779678661
25	0.2721347737
26	0.2669148311
27	0.2624585041
28	0.2578751969
29	0.2524393611
30	0.2467784142
31	0.2434980643
32	0.2397832453
33	0.237569354
34	0.2333717992
35	0.2294592718
36	0.2262839197
37	0.2232132013
38	0.2201494239
39	0.2172279725
40	0.2144458193
41	0.2120796607
42	0.2096531766
43	0.2077600704
44	0.2055578441
45	0.2031975092
46	0.2014036505
47	0.1995967814
48	0.198082518
49	0.1965374783
50	0.1953276108
51	0.1940745441
52	0.1927963149
53	0.1916403617
54	0.1906946487
55	0.1898365083
56	0.1887857554
57	0.1876222992
58	0.186684744
59	0.1856900524
60	0.1848397109
61	0.1839793921
62	0.1831219902
63	0.1826379936
64	0.1820636394
65	0.181500366
66	0.1810052801
67	0.1803930607
68	0.1798921153
69	0.1793110274
70	0.1788621457
71	0.1784416458
72	0.1780671345
73	0.1776159611
74	0.1772701939
75	0.1767528647
76	0.176368745
77	0.1758851793
78	0.1755236665
79	0.1751315931
80	0.174614201
81	0.1744062363
82	0.1741745762
83	0.1737998396
84	0.173536477
85	0.1730764939
86	0.1726553844
87	0.1722814633
88	0.1721269717
89	0.1719410786
90	0.1718112822
91	0.1716431875
92	0.171437776
93	0.1711608726
94	0.1709094128
95	0.1707114615
96	0.1705246948
97	0.1704620764
98	0.1702900331
99	0.1702161748
100	0.1700781224
101	0.1699736254
102	0.1697962206
103	0.169662134
104	0.1695076953
105	0.1693171459
106	0.1690896435
107	0.1690256743
108	0.1688225944
109	0.1687745921
110	0.1686603326
111	0.1685675531
112	0.168520795
113	0.1684257783
114	0.1683053677
115	0.1682040524
116	0.1681216434
117	0.1679859728
118	0.1678126548
119	0.1677715405
120	0.167714427
121	0.1673121372
122	0.1670168172
123	0.1667658613
124	0.1663555203
125	0.1661265462
126	0.1661109969
127	0.1658224919
128	0.165557421
129	0.165297985
130	0.1650014437
131	0.1647476707
132	0.164658723
133	0.1644502252
134	0.1644082525
135	0.1642451824
136	0.164238807
137	0.1640725601
138	0.1640112171
139	0.1639958784
140	0.1639834909
141	0.1637524905
142	0.1635480193
143	0.1635350171
144	0.1635061748
145	0.1633880925
146	0.1633051336
147	0.1632492287
148	0.163237902
149	0.1630019298
150	0.162979175
151	0.1627784232
152	0.1625333886
153	0.1625330263
154	0.1624581068
155	0.1623203046
156	0.1623199592
157	0.1622250474
158	0.1619840282
159	0.1617914164
160	0.1617834091
161	0.1616206468
162	0.1615071549
163	0.161420482
164	0.161384949
165	0.1612271401
166	0.1611539843
167	0.1610592699
168	0.1609486024
169	0.1607680063
170	0.1607085642
171	0.1606655365
172	0.1606167481
173	0.1605460787
174	0.1604888406
175	0.1603837762
176	0.1603821866
177	0.1603224467
178	0.1603209715
179	0.1602212746
180	0.1602083893
181	0.1601735402
182	0.1601534688
183	0.1600561764
184	0.1600506356
185	0.1600455298
186	0.1600386541
187	0.1599939787
188	0.1599795375
189	0.1599558736
190	0.1599029407
191	0.1599000362
192	0.1598436332
193	0.1598219115
194	0.1598209445
195	0.1598104537
196	0.1596429211
197	0.1596008783
198	0.1595270143
199	0.1595002516
200	0.159437465
201	0.1594367516
202	0.1594304282
203	0.1593401271
204	0.1593374222
205	0.1592515048
206	0.1591894318
207	0.1591493392
208	0.1590990716
209	0.1589117319
210	0.1588852411
211	0.1588833396
212	0.1588807854
213	0.1588805943
214	0.1588800595
215	0.1588111568
216	0.1587339103
217	0.1587265858
218	0.1586916342
219	0.1586760907
220	0.1586175545
221	0.1586171429
222	0.1586150857
223	0.1585397571
224	0.1584953764
225	0.1584486958
226	0.1584415651
227	0.1584257117
228	0.1583969703
229	0.1583890722
230	0.1583887237
231	0.1583876561
232	0.1583772579
233	0.1583619522
234	0.1582858792
235	0.1582833186
236	0.1582178132
237	0.1581686031
238	0.1581684983
239	0.1581466335
240	0.1581447596
241	0.1581039451
242	0.158018143
243	0.1580120484
244	0.1579642472
245	0.1579579021
246	0.1579571006
247	0.1579060608
248	0.1579059525
249	0.157902366
250	0.1578764229
251	0.1578762122
252	0.1578756089
253	0.1578744335
254	0.1578119061
255	0.1578116555
256	0.1577332724
257	0.1576693328
258	0.1576388993
259	0.1576387922
260	0.157613821
261	0.1576137284
262	0.1575618406
263	0.1575381508
264	0.1574780353
265	0.1574717785
266	0.15746147
267	0.1574536036
268	0.1574116598
269	0.1573896267
270	0.1573560317
271	0.1572666032
272	0.1572649607
273	0.1572648994
274	0.1572435478
275	0.1572361073
276	0.1572043661
277	0.1571988338
278	0.1571558641
279	0.1571519197
280	0.1571485664
281	0.1571395251
282	0.157131736
283	0.1571300036
284	0.157116615
285	0.1571140798
286	0.1570832653
287	0.1570832219
288	0.1570738772
289	0.1570123068
290	0.157010859
291	0.1569428892
292	0.1569282772
293	0.1569031177
294	0.1568887888
295	0.1568624777
296	0.1568184654
297	0.1567983909
298	0.1567983549
299	0.1567707478
300	0.156764767
301	0.1567589983
302	0.156757683
303	0.1567228083
304	0.1566392174
305	0.1566385183
306	0.1566351905
307	0.1566294473
308	0.1565688481
309	0.1565687062
310	0.156564417
311	0.1565643826
312	0.1565612059
313	0.156529842
314	0.1565170085
315	0.1564611542
316	0.1564611224
317	0.1564551284
318	0.1564539544
319	0.1564539294
320	0.1564471181
321	0.1564470083
322	0.1564358518
323	0.1564320277
324	0.1564259491
325	0.1564259398
326	0.1564217918
327	0.1564037407
328	0.1564014146
329	0.1563560723
330	0.1563264036
331	0.156215385
332	0.1562139943
333	0.1561693325
334	0.1561630852
335	0.1560850918
336	0.1560199372
337	0.1560178037
338	0.1560115233
339	0.1559994119
340	0.1559976994
341	0.1559879937
342	0.1559879312
343	0.1559536034
344	0.155942373
345	0.155888544
346	0.1558583235
347	0.1558160782
348	0.1557762803
349	0.1557070486
350	0.1556945374
351	0.1556798708
352	0.1556722687
353	0.1556277662
354	0.1556006825
355	0.1555755557
356	0.1555047719
357	0.1554935818
358	0.1554871188
359	0.1554607007
360	0.1554369411
361	0.1554100198
362	0.1553618866
363	0.1553522916
364	0.1553482732
365	0.1553448434
366	0.1553059975
367	0.1552939029
368	0.1552591399
369	0.1552480707
370	0.1552225914
371	0.1551895954
372	0.1551575919
373	0.1551556973
374	0.1550921973
375	0.1550858162
376	0.1550761833
377	0.1550696105
378	0.1550471452
379	0.1550020788
380	0.1549770781
381	0.1549602431
382	0.1549461849
383	0.1549336396
384	0.154931272
385	0.1549102245
386	0.1549076312
387	0.1548567237
388	0.1548119223
389	0.1547862337
390	0.154765874
391	0.1547522048
392	0.1547348498
393	0.1546447468
394	0.1546390948
395	0.154630412
396	0.1546064317
397	0.1545679341
398	0.1545589451
399	0.1545544279
400	0.154519253
401	0.15450956
402	0.1544437911
403	0.1544392517
404	0.1544101071
405	0.1544011008
406	0.1543982348
407	0.1543871058
408	0.1543748262
409	0.1543683332
410	0.1543608073
411	0.1543446053
412	0.1542938686
413	0.1542930679
414	0.1542887649
415	0.1542700231
416	0.1542651595
417	0.1542059754
418	0.1541533717
419	0.1541192677
420	0.1541008476
421	0.1540513103
422	0.1540160034
423	0.1539228828
424	0.1539060412
425	0.1538987493
426	0.1538789177
427	0.1538645546
428	0.1538429126
429	0.1538361439
430	0.1538247564
431	0.1538174038
432	0.1538061664
433	0.1537974374
434	0.1537813055
435	0.1537674411
436	0.1537669547
437	0.1537521681
438	0.1537350274
439	0.1537270115
440	0.1537251692
441	0.1536898432
442	0.1536852789
443	0.1536529426
444	0.1536505079
445	0.1536339744
446	0.1536253272
447	0.1536233662
448	0.153552427
449	0.1535068732
450	0.1534533872
451	0.1534471238
452	0.1534411957
453	0.1534365978
454	0.153430421
455	0.1534204351
456	0.15341794
457	0.1534070292
458	0.1533966037
459	0.1533911038
460	0.1533809228
461	0.1533649638
462	0.1533518623
463	0.1533435497
464	0.1533306632
465	0.1533055111
466	0.153288474
467	0.1532792797
468	0.1532762891
469	0.1532340615
470	0.1531899506
471	0.153175894
472	0.1531455124
473	0.1531384364
474	0.1531293093
475	0.1531026404
476	0.1530948373
477	0.1530926898
478	0.1530875493
479	0.1530822418
480	0.153073737
481	0.153068016
482	0.1530647609
483	0.1530537015
484	0.15302366
485	0.1530175119
486	0.152999901
487	0.1529973562
488	0.1529885776
489	0.1529459708
490	0.1529394051
491	0.152904192
492	0.152894141
493	0.1528889773
494	0.1528429036
495	0.1527944468
496	0.1527861476
497	0.1527715379
498	0.152747725
499	0.1527386905
500	0.1527043278
501	0.1526961234
502	0.1526526863
503	0.1526500056
504	0.1526446859
505	0.1526410158
506	0.1525983871
507	0.15256799
508	0.1525548142
509	0.1525436283
510	0.1525392013
511	0.152536357
512	0.152492926
513	0.1524854116
514	0.1524660552
515	0.1524533686
516	0.1524449983
517	0.1524447382
518	0.1524424839
519	0.1524169086
520	0.152363781
521	0.1523456103
522	0.1523252309
523	0.1523192505
524	0.1523092268
525	0.1522708077
526	0.1522673841
527	0.1522567892
528	0.1522534904
529	0.1521922134
530	0.1521822039
531	0.1521788159
532	0.152156649
533	0.1521428349
534	0.1521406577
535	0.1521287397
536	0.1521228626
537	0.1521045359
538	0.1520916019
539	0.1520828722
540	0.1520753201
541	0.1520592474
542	0.1520541183
543	0.1520496372
544	0.1520444462
545	0.1520388363
546	0.1519980282
547	0.151991792
548	0.1519728644
549	0.1519580944
550	0.151939443
551	0.1519214095
552	0.1518945418
553	0.1518656615
554	0.1518625074
555	0.1518444406
556	0.1518307686
557	0.15182168
558	0.1517934899
559	0.1517680524
560	0.1517320433
561	0.151726672
562	0.1517199857
563	0.1517028328
564	0.1516913527
565	0.1516851027
566	0.1516772338
567	0.1516711611
568	0.1516623024
569	0.1516513468
570	0.1516393228
571	0.1516050529
572	0.1515579855
573	0.1515360535
574	0.151522463
575	0.1514951628
576	0.1514873818
577	0.1514775407
578	0.1514694005
579	0.1514179204
580	0.1514152923
581	0.1514095913
582	0.1514059129
583	0.1513878861
584	0.1513607341
585	0.151335755
586	0.1513322105
587	0.1513294893
588	0.1513204181
589	0.1512878487
590	0.1512751657
591	0.1512661148
592	0.1512601289
593	0.1512586867
594	0.1512440815
595	0.1512273177
596	0.1511968139
597	0.1511911622
598	0.1511881574
599	0.1511737758
600	0.151131728
601	0.151121805
602	0.1511119003
603	0.151103757
604	0.1510963292
605	0.1510822443
606	0.1510780572
607	0.1510759098
608	0.1510688304
609	0.1510646138
610	0.1510622526
611	0.151050523
612	0.1510229619
613	0.1510131104
614	0.1510109089
615	0.1510058358
616	0.1509684107
617	0.1509635739
618	0.1509588022
619	0.1509558013
620	0.150943741
621	0.1509358692
622	0.1509321363
623	0.1508779599
624	0.1508626975
625	0.1508498102
626	0.1508460171
627	0.1508359387
628	0.1508235486
629	0.1508063505
630	0.1507937947
631	0.1507927077
632	0.1507265632
633	0.1507137079
634	0.1506748065
635	0.1506564741
636	0.1506204143
637	0.1506184834
638	0.1506154842
639	0.150605198
640	0.150597477
641	0.1505926883
642	0.1505813999
643	0.1505803278
644	0.1505763698
645	0.1505709131
646	0.1505643823
647	0.15056127
648	0.150555403
649	0.1505470143
650	0.150544177
651	0.1505318809
652	0.1505173389
653	0.150499446
654	0.1504791977
655	0.1504708557
656	0.1504614416
657	0.1504493362
658	0.1504444817
659	0.1504398168
660	0.1504190847
661	0.1504116232
662	0.1503986836
663	0.1503312768
664	0.1503308541
665	0.1503290847
666	0.1503116537
667	0.150310951
668	0.1503053667
669	0.1502986117
670	0.1502913755
671	0.1502796189
672	0.150274368
673	0.1502552943
674	0.1502410889
675	0.1502083025
676	0.1501904108
677	0.1501707885
678	0.1501697881
679	0.1501539047
680	0.1501389279
681	0.1501359272
682	0.1501082702
683	0.1501006706
684	0.150099295
685	0.1500923228
686	0.1500839173
687	0.1500789438
688	0.1500726119
689	0.1500448165
690	0.1500393368
691	0.1500007099
692	0.1499990968
693	0.1499948628
694	0.1499884533
695	0.1499748635
696	0.1499708093
697	0.1499682356
698	0.1499638549
699	0.1499303602
700	0.1499186207
701	0.149915045
702	0.1499139761
703	0.1499122012
704	0.1499074559
705	0.1499035512
706	0.1499009772
707	0.1498957546
708	0.1498917124
709	0.1498843164
710	0.1498789495
711	0.1498762235
712	0.1498569009
713	0.1498282256
714	0.1498115175
715	0.1498015502
716	0.1497439919
717	0.149736516
718	0.1497249833
719	0.1497146434
720	0.1497054589
721	0.149702633
722	0.1496947173
723	0.1496934098
724	0.1496919951
725	0.1496889898
726	0.1496775126
727	0.1496757931
728	0.149666521
729	0.1496662528
730	0.149654752
731	0.1496097681
732	0.1495823352
733	0.149579509
734	0.1495607905
735	0.1495599979
736	0.1495406746
737	0.1495327578
738	0.149530182
739	0.1495177048
740	0.1494873434
741	0.1494809042
742	0.1494772389
743	0.1494733313
744	0.1494636252
745	0.1494445407
746	0.1494107973
747	0.1493918124
748	0.1493797754
749	0.1493753254
750	0.1493601774
751	0.1493453624
752	0.1493436224
753	0.1493424757
754	0.1493405528
755	0.1493282505
756	0.1493225812
757	0.1493216949
758	0.1493168548
759	0.149313567
760	0.1492948416
761	0.149290167
762	0.1492702997
763	0.149268796
764	0.1492599889
765	0.1492587048
766	0.149244523
767	0.1492415137
768	0.1492385176
769	0.1491989057
770	0.1491888851
771	0.1491878004
772	0.1491794148
773	0.1491715229
774	0.1491637113
775	0.1491590126
776	0.1491583928
777	0.1491555406
778	0.1491485742
779	0.149142961
780	0.1491385658
781	0.1491378225
782	0.1491290745
783	0.1491183168
784	0.1491179723
785	0.1490977075
786	0.1490899642
787	0.1490567521
788	0.1490552127
789	0.1490538309
790	0.1490515282
791	0.1490425275
792	0.1490330329
793	0.1490144785
794	0.1489949734
795	0.148991872
796	0.1489900325
797	0.148988595
798	0.1489663198
799	0.1489538249
800	0.1489528311
801	0.1489482747
802	0.148940863
803	0.1489353681
804	0.1489321402
805	0.1489309355
806	0.1489251206
807	0.1489219786
808	0.1489010753
809	0.1488972752
810	0.1488950824
811	0.1488902072
812	0.1488735427
813	0.1488497787
814	0.1488411659
815	0.1488392188
816	0.1488261372
817	0.1488196141
818	0.148809035
819	0.1488048389
820	0.1487746583
821	0.1487489784
822	0.1487468354
823	0.148738846
824	0.1487342914
825	0.1487287159
826	0.1487268724
827	0.1487228115
828	0.1487033497
829	0.1486788291
830	0.1486762224
831	0.148672512
832	0.148665539
833	0.1486644917
834	0.1486614271
835	0.1486612689
836	0.1486598177
837	0.1486001445
838	0.1485943561
839	0.1485928673
840	0.1485885141
841	0.1485806133
842	0.1485763532
843	0.1485719272
844	0.1485699143
845	0.1485403968
846	0.1485341393
847	0.1485332158
848	0.1485303398
849	0.1484979453
850	0.1484842601
851	0.1484816604
852	0.148479462
853	0.1484768876
854	0.14846768
855	0.1484251674
856	0.1484204423
857	0.14841455
858	0.148413394
859	0.148412287
860	0.1484080204
861	0.1483987622
862	0.1483626209
863	0.1483544509
864	0.1483526661
865	0.1483492394
866	0.1483440679
867	0.1483406203
868	0.1483362367
869	0.1483344944
870	0.1483294192
871	0.1483181364
872	0.1483173664
873	0.1483148656
874	0.1482386663
875	0.1482219476
876	0.1482198052
877	0.1482157373
878	0.1482035947
879	0.1481710832
880	0.1481601691
881	0.1481537968
882	0.1481482734
883	0.1481395954
884	0.1481384136
885	0.1481372094
886	0.14813208
887	0.1481292983
888	0.1481271558
889	0.1481242178
890	0.1481176549
891	0.1481101659
892	0.1480899501
893	0.1480745404
894	0.1480705545
895	0.1480701298
896	0.1480630496
897	0.1480595247
898	0.1480434943
899	0.1480338136
900	0.1480292902
901	0.1480230837
902	0.1480217165
903	0.1480124349
904	0.1479872208
905	0.1479836525
906	0.1479425071
907	0.1479414077
908	0.1479209705
909	0.1478945018
910	0.1478798871
911	0.147878931
912	0.1478599781
913	0.147851914
914	0.1478455244
915	0.1478410456
916	0.1478392397
917	0.1478145253
918	0.1478134563
919	0.1478095776
920	0.1477985426
921	0.1477885155
922	0.1477882402
923	0.1477787788
924	0.1477471049
925	0.1477465517
926	0.147701402
927	0.1476998718
928	0.1476916377
929	0.1476879595
930	0.1476877622
931	0.1476747806
932	0.147667972
933	0.1476538388
934	0.1476330918
935	0.1476148922
936	0.1476133507
937	0.1476063237
938	0.1476028484
939	0.1476017914
940	0.1475923108
941	0.1475548438
942	0.1475481555
943	0.1475443203
944	0.147542985
945	0.1475385272
946	0.1475002469
947	0.1474978761
948	0.1474908599
949	0.1474831134
950	0.1474738153
951	0.1474694501
952	0.1474571575
953	0.1474454845
954	0.1474332164
955	0.1474041574
956	0.1473778333
957	0.1473737433
958	0.1473710748
959	0.147348349
960	0.1473430069
961	0.1473286414
962	0.1473282257
963	0.1473261148
964	0.1473081453
965	0.1473023716
966	0.1473006978
967	0.147288674
968	0.1472794467
969	0.1472769041
970	0.1472766944
971	0.1472744403
972	0.1472701357
973	0.1472694669
974	0.1472582185
975	0.1472569575
976	0.1472512001
977	0.147247942
978	0.1472459024
979	0.1472447168
980	0.147225899
981	0.1472064395
982	0.1472031344
983	0.1471986859
984	0.147197085
985	0.1471966613
986	0.1471960642
987	0.1471928247
988	0.1471911352
989	0.1471870055
990	0.1471795724
991	0.1471687196
992	0.1471643801
993	0.147153709
994	0.1471440674
995	0.1471262777
996	0.1471204592
997	0.1470940638
998	0.1470906671
999	0.1470819329
