iter	Passed	Remaining
400	35949	53700
401	36053	53631
402	36168	53579
403	36288	53534
404	36409	53489
405	36511	53417
406	36609	53340
407	36713	53270
408	36841	53235
409	36938	53155
410	37048	53093
411	37142	53008
412	37266	52966
413	37344	52859
414	37456	52800
415	37568	52739
416	37674	52672
417	37789	52616
418	37923	52585
419	38030	52518
420	38147	52464
421	38253	52394
422	38384	52359
423	38503	52306
424	38623	52254
425	38732	52188
426	38859	52145
427	38980	52095
428	39097	52038
429	39208	51974
430	39318	51907
431	39432	51846
432	39533	51768
433	39654	51715
434	39778	51666
435	39908	51624
436	39971	51496
437	40073	51418
438	40178	51344
439	40277	51262
440	40381	51186
441	40501	51130
442	40605	51054
443	40715	50986
444	40827	50919
445	40948	50864
446	41060	50797
447	41119	50665
448	41217	50580
449	41330	50515
450	41447	50453
451	41596	50431
452	41711	50367
453	41819	50293
454	41922	50214
455	42044	50158
456	42151	50084
457	42252	50001
458	42356	49923
459	42476	49863
460	42594	49801
461	42704	49729
462	42817	49661
463	42927	49588
464	43049	49529
465	43164	49463
466	43262	49377
467	43362	49292
468	43469	49215
469	43583	49147
470	43714	49097
471	43827	49027
472	43940	48957
473	44052	48885
474	44180	48831
475	44297	48764
476	44405	48687
477	44506	48602
478	44620	48532
479	44735	48463
480	44845	48388
481	44957	48314
482	45071	48244
483	45184	48172
484	45292	48093
485	45400	48016
486	45513	47943
487	45636	47880
488	45753	47811
489	45871	47743
490	45974	47660
491	46089	47588
492	46224	47537
493	46318	47443
494	46419	47357
495	46513	47263
496	46629	47192
497	46741	47116
498	46861	47049
499	46975	46975
500	47083	46895
501	47194	46818
502	47303	46739
503	47413	46661
504	47516	46575
505	47616	46487
506	47748	46429
507	47862	46355
508	47979	46282
509	48087	46201
510	48180	46105
511	48302	46038
512	48413	45959
513	48518	45875
514	48630	45797
515	48738	45716
516	48843	45631
517	48946	45544
518	49057	45465
519	49170	45387
520	49283	45310
521	49408	45243
522	49517	45162
523	49617	45072
524	49725	44989
525	49849	44921
526	49957	44838
527	50166	44846
528	50269	44757
529	50412	44705
530	50515	44617
531	50618	44529
532	50727	44445
533	50837	44363
534	50939	44274
535	51050	44193
536	51163	44112
537	51275	44032
538	51387	43950
539	51499	43869
540	51617	43793
541	51728	43711
542	51832	43623
543	51950	43546
544	52072	43473
545	52168	43378
546	52283	43298
547	52394	43215
548	52521	43145
549	52633	43063
550	52742	42979
551	52848	42891
552	52984	42828
553	53110	42756
554	53219	42671
555	53322	42580
556	53417	42484
557	53551	42419
558	53666	42337
559	53771	42248
560	53881	42163
561	54001	42086
562	54108	41998
563	54213	41909
564	54321	41822
565	54432	41738
566	54591	41689
567	54694	41598
568	54793	41504
